,Unnamed: 0,word,categ,prime,corrAns,correct,rt,file,word_prime_merge
4292,4292,VAKAME,2,vaca,right,1,0.5170469000004232,016,VAKAME_vaca
4293,4293,RÍO,3,pez,right,0,0.6837161998264492,016,RÍO_pez
4294,4294,MERÕ,2,sandía,right,1,0.7837155996821821,016,MERÕ_sandía
4295,4295,Y,1,río,right,0,0.8003400997258723,016,Y_río
4296,4296,YVYPÓRA,1,hombre,right,0,0.6836961996741593,002,YVYPÓRA_hombre
4297,4297,OÑE'Ẽ,1,decir,right,0,1.100375399924815,002,OÑE'Ẽ_decir
4298,4298,AGUYJE,1,gratitud,right,1,1.050360499881208,002,AGUYJE_gratitud
4299,4299,TÍO,3,familia,right,1,0.6836892999708652,002,TÍO_familia
4300,4300,ARANDUKA,1,biblioteca,right,1,0.917198599781841,002,ARANDUKA_biblioteca
4301,4301,OGUATA,2,corre,right,1,0.7500783996656537,002,OGUATA_corre
4302,4302,KURE,2,chancho,right,0,2.733804000075907,002,KURE_chancho
4303,4303,VIDA,3,biología,right,1,1.033726899884641,002,VIDA_biología
4304,4304,CACHORRO,3,mascota,right,1,0.8670796002261341,002,CACHORRO_mascota
4305,4305,KUIMBA'E,1,señor,right,1,1.267100299708545,002,KUIMBA'E_señor
4306,4306,KARUMBE,2,lento,right,0,0.8335484000854194,002,KARUMBE_lento
4307,4307,KUATIAÑE'Ẽ,1,correo,right,1,0.8169891000725329,002,KUATIAÑE'Ẽ_correo
4308,4308,MITÃKUÑA'I,1,mujer,right,1,0.6670760996639729,002,MITÃKUÑA'I_mujer
4309,4309,OÑANI,2,caminar,right,0,1.45015210006386,002,OÑANI_caminar
4310,4310,KO'Ẽ,1,mañana,right,0,0.6838215999305248,002,KO'Ẽ_mañana
4311,4311,CABEZA,3,cráneo,right,1,0.6001869002357125,002,CABEZA_cráneo
4312,4312,RUPI'A,2,gallina,right,1,0.4337009000591934,002,RUPI'A_gallina
4313,4313,KARAI,1,hombre,right,1,0.6003268002532423,002,KARAI_hombre
4314,4314,ÑATI'Ũ,2,picadura,right,0,0.683731900062412,002,ÑATI'Ũ_picadura
4315,4315,YPE,2,ave,right,0,0.7503500999882817,002,YPE_ave
4316,4316,CIRUELA,3,durazno,right,1,0.817075299564749,002,CIRUELA_durazno
4317,4317,KAVAJU,2,campo,right,0,0.8670001998543739,002,KAVAJU_campo
4318,4318,AVATI,2,pochoclo,right,1,0.7670636000111699,002,AVATI_pochoclo
4319,4319,TAHÝI,2,hormiguero,right,1,0.900403100065887,002,TAHÝI_hormiguero
4320,4320,IPORÃ,1,bello,right,1,0.9670363999903202,002,IPORÃ_bello
4321,4321,SERPIENTE,3,víbora,right,1,0.7337457998655736,002,SERPIENTE_víbora
4322,4322,SALUD,3,vida,right,1,0.6337411999702454,002,SALUD_vida
4323,4323,JAGUA,2,animal,right,0,0.9837993998080492,002,JAGUA_animal
4324,4324,MBOREROTOCHU,2,trompa,right,0,0.983833100181073,002,MBOREROTOCHU_trompa
4325,4325,ASAJE,1,núcleo,left,1,1.166972100269049,002,ASAJE_núcleo
4326,4326,KA'ARU,1,mujer,left,0,0.7667717998847365,002,KA'ARU_mujer
4327,4327,TEMBIPORU,2,serpiente,left,0,0.8504082001745701,002,TEMBIPORU_serpiente
4328,4328,AMO,1,zanahoria,left,0,0.7670163000002503,002,AMO_zanahoria
4329,4329,MBERU,2,papa,left,1,0.6170316999778152,002,MBERU_papa
4330,4330,MITÃ,1,atún,left,1,0.6337400996126235,002,MITÃ_atún
4331,4331,HE'Ẽ,2,pájaro,left,0,0.6503429999575019,002,HE'Ẽ_pájaro
4332,4332,TIGRE,3,alga,left,1,0.8337383000180125,002,TIGRE_alga
4333,4333,YVA,1,bombilla,left,1,1.150332699995488,002,YVA_bombilla
4334,4334,AVENA,3,tortuga,left,1,0.6003492996096611,002,AVENA_tortuga
4335,4335,GUYRA,2,taza,left,1,1.200425900053233,002,GUYRA_taza
4336,4336,KUÑATAI,1,cal,left,1,0.7003852999769151,002,KUÑATAI_cal
4337,4337,IVAI,1,estrella,left,1,0.8004075000062585,002,IVAI_estrella
4338,4338,TRIGO,3,oreja,left,0,0.7170032998546958,002,TRIGO_oreja
4339,4339,CARA,3,lapicera,left,1,0.6670210999436677,002,CARA_lapicera
4340,4340,MANO,3,zócalo,left,1,1.100409399718046,002,MANO_zócalo
4341,4341,FAMILIA,3,rúcula,left,1,0.9003969999030232,002,FAMILIA_rúcula
4342,4342,HO'U,1,correr,left,1,0.6836782000027597,002,HO'U_correr
4343,4343,AMIGO,3,uva,left,1,1.200432899873704,002,AMIGO_uva
4344,4344,KAMBY,1,leer,left,1,1.200521700084209,002,KAMBY_leer
4345,4345,ÑANDU,2,papa,left,1,0.9670577002689242,002,ÑANDU_papa
4346,4346,PYHAREVE,1,menta,left,0,1.117067700251937,002,PYHAREVE_menta
4347,4347,PULPO,3,edificio,left,1,0.867034399881959,002,PULPO_edificio
4348,4348,KARIA'Y,1,pan,left,1,1.167034800164402,002,KARIA'Y_pan
4349,4349,ÓGA,1,salmón,left,1,1.317047100048512,002,ÓGA_salmón
4350,4350,BRAZO,3,arroz,left,1,0.8837136002257466,002,BRAZO_arroz
4351,4351,PETEĨ,1,escuela,left,1,0.9170746002346276,002,PETEĨ_escuela
4352,4352,PEẼ,1,pera,left,0,0.8504078998230398,002,PEẼ_pera
4353,4353,PIE,3,pata,right,1,1.000387300271541,002,PIE_pata
4354,4354,PERA,3,durazno,right,1,0.4171099001541734,002,PERA_durazno
4355,4355,OVEVE,2,pájaro,right,0,0.85035640001297,002,OVEVE_pájaro
4356,4356,OHAI,1,leer,right,0,0.700411600060761,002,OHAI_leer
4357,4357,YVY'A,2,batata,right,1,0.8004176998510957,002,YVY'A_batata
4358,4358,PIRA,2,salmón,right,1,0.3837439999915659,002,PIRA_salmón
4359,4359,PYHARE,1,día,right,1,0.4003944997675717,002,PYHARE_día
4360,4360,MADRE,3,abuela,right,0,0.4504122999496758,002,MADRE_abuela
4361,4361,TEMBI'U,2,arroz,right,0,0.7170204003341496,002,TEMBI'U_arroz
4362,4362,AVATI'I,2,comida,right,1,0.6503920000977814,002,AVATI'I_comida
4363,4363,CHEAÑYRÕ,1,perdón,right,1,0.5169287002645433,002,CHEAÑYRÕ_perdón
4364,4364,CUERPO,3,vida,right,1,0.9004265000112355,002,CUERPO_vida
4365,4365,POLLO,3,gallina,right,1,0.5170418997295201,002,POLLO_gallina
4366,4366,SEVÓI,2,ajo,right,0,1.050358899869025,002,SEVÓI_ajo
4367,4367,PAKOVA,2,plátano,right,1,0.3669765996746719,002,PAKOVA_plátano
4368,4368,MITÃ'I,1,nene,right,1,0.8170199999585748,002,MITÃ'I_nene
4369,4369,KUATIAHAIPYRE,1,noticia,right,1,0.6337036001496017,002,KUATIAHAIPYRE_noticia
4370,4370,RELOJ,3,tiempo,right,1,0.7837604000233114,002,RELOJ_tiempo
4371,4371,OÑARÕ,2,rugir,right,0,0.5163650996983051,002,OÑARÕ_rugir
4372,4372,CEBRA,3,rayas,right,1,0.9670414999127388,002,CEBRA_rayas
4373,4373,KUÑAKARAI,1,mujer,right,1,0.4336981000378728,002,KUÑAKARAI_mujer
4374,4374,OMOÑE'Ẽ,1,libro,right,0,0.6671143998391926,002,OMOÑE'Ẽ_libro
4375,4375,ENERGÍA,3,potencia,right,0,0.4671594998799264,002,ENERGÍA_potencia
4376,4376,CAMPO,3,estancia,right,1,0.8004140998236835,002,CAMPO_estancia
4377,4377,DAMA,3,mujer,right,1,0.4670090000145137,002,DAMA_mujer
4378,4378,PE,1,este,right,0,0.5336627000942826,002,PE_este
4379,4379,MBUJAPE,1,tostada,right,1,1.133687799796462,002,MBUJAPE_tostada
4380,4380,KUÑA,1,chica,right,1,0.5669900001958013,002,KUÑA_chica
4381,4381,PARRILLA,3,asado,right,1,0.5503687998279929,002,PARRILLA_asado
4382,4382,ATÚN,3,pez,right,1,0.5670761000365019,002,ATÚN_pez
