subject,item,condition_code,condition_label,RT,channel,window_start,window_end,mean_amplitude,relatedness,language
001,salmón_ÓGA,1,remoto_no,332,Pz,0.3,0.5,0.8063128030357449,0,rem
001,salmón_ÓGA,1,remoto_no,332,Pz,0.5,0.8,1.9876138747402052,0,rem
001,víbora_SERPIENTE,6,español_si,345,Cz,0.3,0.5,0.49645764867846814,1,esp
001,víbora_SERPIENTE,6,español_si,345,Cz,0.5,0.8,-0.055207049428873736,1,esp
001,víbora_SERPIENTE,6,español_si,345,Pz,0.3,0.5,-3.901619316723484,1,esp
001,víbora_SERPIENTE,6,español_si,345,Pz,0.5,0.8,-6.703714478153901,1,esp
001,campo_KAVAJU,5,reciente_si,332,Cz,0.3,0.5,3.166961270277029,1,rec
001,campo_KAVAJU,5,reciente_si,332,Cz,0.5,0.8,4.557404070956865,1,rec
001,campo_KAVAJU,5,reciente_si,332,Pz,0.3,0.5,1.1170731945715557,1,rec
001,campo_KAVAJU,5,reciente_si,332,Pz,0.5,0.8,-0.21907154406583038,1,rec
001,durazno_CIRUELA,6,español_si,349,Cz,0.3,0.5,-3.4180275549968857,1,esp
001,durazno_CIRUELA,6,español_si,349,Cz,0.5,0.8,-0.3738438457341089,1,esp
001,durazno_CIRUELA,6,español_si,349,Pz,0.3,0.5,-2.4063918536099105,1,esp
001,durazno_CIRUELA,6,español_si,349,Pz,0.5,0.8,-1.0866729698100537,1,esp
001,biblioteca_ARANDUKA,4,remoto_si,328,Cz,0.3,0.5,0.2052043186357384,1,rem
001,biblioteca_ARANDUKA,4,remoto_si,328,Cz,0.5,0.8,-5.526422803882162,1,rem
001,biblioteca_ARANDUKA,4,remoto_si,328,Pz,0.3,0.5,8.925514950685635,1,rem
001,biblioteca_ARANDUKA,4,remoto_si,328,Pz,0.5,0.8,0.08777129173614391,1,rem
001,pan_KARIA'Y,1,remoto_no,388,Cz,0.3,0.5,3.403498144193482,0,rem
001,pan_KARIA'Y,1,remoto_no,388,Cz,0.5,0.8,0.3612057554577044,0,rem
001,pan_KARIA'Y,1,remoto_no,388,Pz,0.3,0.5,3.557204735250426,0,rem
001,pan_KARIA'Y,1,remoto_no,388,Pz,0.5,0.8,0.5594192020715734,0,rem
001,rúcula_FAMILIA,3,español_no,324,Cz,0.3,0.5,1.3114195602516143,0,esp
001,rúcula_FAMILIA,3,español_no,324,Cz,0.5,0.8,1.4083983952232335,0,esp
001,rúcula_FAMILIA,3,español_no,324,Pz,0.3,0.5,1.0877474405905767,0,esp
001,rúcula_FAMILIA,3,español_no,324,Pz,0.5,0.8,3.320755143648933,0,esp
001,uva_AMIGO,3,español_no,345,Cz,0.3,0.5,0.6908302136983433,0,esp
001,uva_AMIGO,3,español_no,345,Cz,0.5,0.8,0.9156984139275308,0,esp
001,uva_AMIGO,3,español_no,345,Pz,0.3,0.5,2.0328483047465293,0,esp
001,uva_AMIGO,3,español_no,345,Pz,0.5,0.8,1.2362708658911288,0,esp
001,trompa_MBOREROTOCHU,5,reciente_si,324,Cz,0.3,0.5,4.012467828035229,1,rec
001,trompa_MBOREROTOCHU,5,reciente_si,324,Cz,0.5,0.8,2.0590567461154636,1,rec
001,trompa_MBOREROTOCHU,5,reciente_si,324,Pz,0.3,0.5,8.049923890700132,1,rec
001,trompa_MBOREROTOCHU,5,reciente_si,324,Pz,0.5,0.8,7.9076855132197945,1,rec
